President,Start Date,End Date,Approving,Disapproving,Unsure/NoData
William J. Clinton,19/07/1993,21/07/1993,41,49,10
William J. Clinton,09/07/1993,11/07/1993,45,48,7
William J. Clinton,29/06/1993,30/06/1993,46,47,7
William J. Clinton,18/06/1993,21/06/1993,39,50,11
William J. Clinton,05/06/1993,06/06/1993,37,49,14
William J. Clinton,21/05/1993,23/05/1993,44,46,10
William J. Clinton,10/05/1993,12/05/1993,45,44,11
William J. Clinton,22/04/1993,24/04/1993,55,37,8
William J. Clinton,29/03/1993,31/03/1993,52,37,11
William J. Clinton,12/03/1993,14/03/1993,53,34,13
William J. Clinton,26/02/1993,28/02/1993,59,29,12
William J. Clinton,12/02/1993,14/02/1993,51,34,15
William J. Clinton,29/01/1993,31/01/1993,54,30,16
William J. Clinton,24/01/1993,26/01/1993,58,20,22
George W. Bush,09/01/2009,11/01/2009,34,61,5
George W. Bush,12/12/2008,14/12/2008,29,67,4
George W. Bush,04/12/2008,07/12/2008,32,61,7
George W. Bush,13/11/2008,16/11/2008,29,66,5
George W. Bush,07/11/2008,09/11/2008,28,68,4
George W. Bush,31/10/2008,02/11/2008,25,70,5
George W. Bush,23/10/2008,26/10/2008,31,66,3
George W. Bush,10/10/2008,12/10/2008,25,71,4
George W. Bush,03/10/2008,05/10/2008,25,70,5
George W. Bush,26/09/2008,27/09/2008,27,69,4
George W. Bush,08/09/2008,11/09/2008,31,65,4
George W. Bush,05/09/2008,07/09/2008,33,64,3
George W. Bush,21/08/2008,23/08/2008,29,66,5
George W. Bush,07/08/2008,10/08/2008,33,61,6
George W. Bush,25/07/2008,27/07/2008,32,65,3
George W. Bush,10/07/2008,13/07/2008,31,61,8
George W. Bush,15/06/2008,19/06/2008,28,68,4
George W. Bush,09/06/2008,12/06/2008,30,64,6
George W. Bush,30/05/2008,01/06/2008,28,68,4
George W. Bush,08/05/2008,11/05/2008,29,65,6
George W. Bush,01/05/2008,03/05/2008,28,67,5
George W. Bush,18/04/2008,20/04/2008,28,69,3
George W. Bush,06/04/2008,09/04/2008,28,67,5
George W. Bush,14/03/2008,16/03/2008,32,64,4
George W. Bush,06/03/2008,09/03/2008,32,64,4
George W. Bush,21/02/2008,24/02/2008,32,62,6
George W. Bush,11/02/2008,14/02/2008,31,65,4
George W. Bush,08/02/2008,10/02/2008,33,61,6
George W. Bush,30/01/2008,02/02/2008,34,61,5
George W. Bush,10/01/2008,13/01/2008,34,60,6
George W. Bush,04/01/2008,06/01/2008,32,64,4
George W. Bush,14/12/2007,16/12/2007,32,65,3
George W. Bush,06/12/2007,09/12/2007,37,57,6
George W. Bush,30/11/2007,02/12/2007,34,62,4
George W. Bush,11/11/2007,14/11/2007,32,61,7
George W. Bush,02/11/2007,04/11/2007,31,64,5
George W. Bush,12/10/2007,14/10/2007,32,64,4
George W. Bush,04/10/2007,07/10/2007,32,64,4
George W. Bush,14/09/2007,16/09/2007,36,62,2
George W. Bush,07/09/2007,08/09/2007,33,62,5
George W. Bush,13/08/2007,16/08/2007,32,63,5
George W. Bush,03/08/2007,05/08/2007,34,62,4
George W. Bush,12/07/2007,15/07/2007,31,63,6
George W. Bush,06/07/2007,08/07/2007,29,66,5
George W. Bush,11/06/2007,14/06/2007,32,65,3
George W. Bush,01/06/2007,03/06/2007,32,62,6
George W. Bush,10/05/2007,13/05/2007,33,62,5
George W. Bush,04/05/2007,06/05/2007,34,63,3
George W. Bush,13/04/2007,15/04/2007,36,60,4
George W. Bush,02/04/2007,05/04/2007,38,58,4
George W. Bush,23/03/2007,25/03/2007,34,62,4
George W. Bush,11/03/2007,14/03/2007,35,61,4
George W. Bush,02/03/2007,04/03/2007,33,63,4
George W. Bush,09/02/2007,11/02/2007,37,59,4
George W. Bush,01/02/2007,04/02/2007,32,65,3
George W. Bush,15/01/2007,18/01/2007,36,61,3
George W. Bush,12/01/2007,14/01/2007,34,63,3
George W. Bush,05/01/2007,07/01/2007,37,59,4
George W. Bush,11/12/2006,14/12/2006,35,61,4
George W. Bush,08/12/2006,10/12/2006,38,59,3
George W. Bush,09/11/2006,12/11/2006,37,62,1
George W. Bush,02/11/2006,05/11/2006,38,56,6
George W. Bush,20/10/2006,22/10/2006,37,58,5
George W. Bush,09/10/2006,12/10/2006,37,57,6
George W. Bush,06/10/2006,08/10/2006,37,59,4
George W. Bush,15/09/2006,17/09/2006,44,51,5
George W. Bush,07/09/2006,10/09/2006,39,56,5
George W. Bush,18/08/2006,20/08/2006,42,54,4
George W. Bush,07/08/2006,10/08/2006,37,59,4
George W. Bush,28/07/2006,30/07/2006,40,56,4
George W. Bush,21/07/2006,23/07/2006,37,59,4
George W. Bush,06/07/2006,09/07/2006,40,55,5
George W. Bush,23/06/2006,25/06/2006,37,60,3
George W. Bush,09/06/2006,11/06/2006,38,56,6
George W. Bush,01/06/2006,04/06/2006,36,57,7
George W. Bush,08/05/2006,11/05/2006,33,61,6
George W. Bush,05/05/2006,07/05/2006,31,61,8
George W. Bush,28/04/2006,30/04/2006,34,65,1
George W. Bush,10/04/2006,13/04/2006,36,63,1
George W. Bush,07/04/2006,09/04/2006,37,60,3
George W. Bush,13/03/2006,16/03/2006,37,59,4
George W. Bush,10/03/2006,12/03/2006,36,60,4
George W. Bush,28/02/2006,01/03/2006,38,60,2
George W. Bush,09/02/2006,12/02/2006,39,56,5
George W. Bush,06/02/2006,09/02/2006,42,55,3
George W. Bush,20/01/2006,22/01/2006,43,54,3
George W. Bush,09/01/2006,12/01/2006,43,53,4
George W. Bush,06/01/2006,08/01/2006,43,54,3
George W. Bush,19/12/2005,22/12/2005,43,53,4
George W. Bush,16/12/2005,18/12/2005,41,56,3
George W. Bush,09/12/2005,11/12/2005,42,55,3
George W. Bush,05/12/2005,08/12/2005,43,52,5
George W. Bush,17/11/2005,20/11/2005,38,57,5
George W. Bush,11/11/2005,13/11/2005,37,60,3
George W. Bush,07/11/2005,10/11/2005,40,55,5
George W. Bush,28/10/2005,30/10/2005,41,56,3
George W. Bush,21/10/2005,23/10/2005,42,55,3
George W. Bush,13/10/2005,16/10/2005,39,58,3
George W. Bush,26/09/2005,28/09/2005,44,50,6
George W. Bush,16/09/2005,18/09/2005,40,58,2
George W. Bush,12/09/2005,15/09/2005,45,52,3
George W. Bush,08/09/2005,11/09/2005,46,51,3
George W. Bush,28/08/2005,30/08/2005,45,52,3
George W. Bush,22/08/2005,25/08/2005,40,58,2
George W. Bush,08/08/2005,11/08/2005,45,51,4
George W. Bush,05/08/2005,07/08/2005,45,51,4
George W. Bush,25/07/2005,28/07/2005,44,51,5
George W. Bush,22/07/2005,24/07/2005,49,48,3
George W. Bush,07/07/2005,10/07/2005,49,48,3
George W. Bush,29/06/2005,30/06/2005,46,51,3
George W. Bush,24/06/2005,26/06/2005,45,53,2
George W. Bush,16/06/2005,19/06/2005,47,51,2
George W. Bush,06/06/2005,08/06/2005,47,49,4
George W. Bush,23/05/2005,26/05/2005,48,47,5
George W. Bush,20/05/2005,22/05/2005,46,50,4
George W. Bush,02/05/2005,05/05/2005,50,45,5
George W. Bush,29/04/2005,01/05/2005,48,49,3
George W. Bush,18/04/2005,21/04/2005,48,49,3
George W. Bush,04/04/2005,07/04/2005,50,45,5
George W. Bush,01/04/2005,02/04/2005,48,48,4
George W. Bush,21/03/2005,23/03/2005,45,49,6
George W. Bush,18/03/2005,20/03/2005,52,44,4
George W. Bush,07/03/2005,10/03/2005,52,44,4
George W. Bush,25/02/2005,27/02/2005,52,45,3
George W. Bush,21/02/2005,24/02/2005,51,45,4
George W. Bush,07/02/2005,10/02/2005,49,48,3
George W. Bush,04/02/2005,06/02/2005,57,40,3
George W. Bush,14/01/2005,16/01/2005,51,46,3
George W. Bush,07/01/2005,09/01/2005,52,44,4
George W. Bush,03/01/2005,05/01/2005,52,44,4
George W. Bush,17/12/2004,19/12/2004,49,46,5
George W. Bush,05/12/2004,08/12/2004,53,44,3
George W. Bush,19/11/2004,21/11/2004,55,42,3
George W. Bush,07/11/2004,10/11/2004,53,44,3
George W. Bush,29/10/2004,31/10/2004,48,47,5
George W. Bush,22/10/2004,24/10/2004,51,46,3
George W. Bush,14/10/2004,16/10/2004,51,47,2
George W. Bush,11/10/2004,14/10/2004,48,49,3
George W. Bush,09/10/2004,10/10/2004,47,49,4
George W. Bush,01/10/2004,03/10/2004,50,48,2
George W. Bush,24/09/2004,26/09/2004,54,44,2
George W. Bush,13/09/2004,15/09/2004,52,45,3
George W. Bush,03/09/2004,05/09/2004,52,46,2
George W. Bush,23/08/2004,25/08/2004,49,47,4
George W. Bush,09/08/2004,11/08/2004,51,46,3
George W. Bush,30/07/2004,01/08/2004,48,49,3
George W. Bush,19/07/2004,21/07/2004,49,47,4
George W. Bush,08/07/2004,11/07/2004,47,49,4
George W. Bush,21/06/2004,23/06/2004,48,49,3
George W. Bush,03/06/2004,06/06/2004,49,49,2
George W. Bush,21/05/2004,23/05/2004,47,49,4
George W. Bush,07/05/2004,09/05/2004,46,51,3
George W. Bush,02/05/2004,04/05/2004,49,48,3
George W. Bush,16/04/2004,18/04/2004,52,45,3
George W. Bush,05/04/2004,08/04/2004,52,45,3
George W. Bush,26/03/2004,28/03/2004,53,44,3
George W. Bush,08/03/2004,11/03/2004,50,47,3
George W. Bush,05/03/2004,07/03/2004,49,48,3
George W. Bush,16/02/2004,17/02/2004,51,46,3
George W. Bush,09/02/2004,12/02/2004,51,46,3
George W. Bush,06/02/2004,08/02/2004,52,44,4
George W. Bush,29/01/2004,01/02/2004,49,48,3
George W. Bush,12/01/2004,15/01/2004,53,44,3
George W. Bush,09/01/2004,11/01/2004,59,38,3
George W. Bush,02/01/2004,05/01/2004,60,35,5
George W. Bush,15/12/2003,16/12/2003,63,34,3
George W. Bush,11/12/2003,14/12/2003,56,41,3
George W. Bush,05/12/2003,07/12/2003,55,43,2
George W. Bush,14/11/2003,16/11/2003,50,47,3
George W. Bush,10/11/2003,12/11/2003,51,45,4
George W. Bush,03/11/2003,05/11/2003,54,43,3
George W. Bush,24/10/2003,26/10/2003,53,42,5
George W. Bush,10/10/2003,12/10/2003,56,40,4
George W. Bush,06/10/2003,08/10/2003,55,42,3
George W. Bush,19/09/2003,21/09/2003,50,47,3
George W. Bush,08/09/2003,10/09/2003,52,43,5
George W. Bush,25/08/2003,26/08/2003,59,37,4
George W. Bush,04/08/2003,06/08/2003,60,36,4
George W. Bush,25/07/2003,27/07/2003,58,38,4
George W. Bush,18/07/2003,20/07/2003,59,38,3
George W. Bush,07/07/2003,09/07/2003,62,34,4
George W. Bush,27/06/2003,29/06/2003,61,36,3
George W. Bush,12/06/2003,15/06/2003,63,33,4
George W. Bush,09/06/2003,10/06/2003,62,34,4
George W. Bush,30/05/2003,01/06/2003,64,32,4
George W. Bush,19/05/2003,21/05/2003,66,30,4
George W. Bush,05/05/2003,07/05/2003,69,28,3
George W. Bush,22/04/2003,23/04/2003,70,26,4
George W. Bush,14/04/2003,16/04/2003,71,24,5
George W. Bush,07/04/2003,09/04/2003,69,26,5
George W. Bush,05/04/2003,06/04/2003,70,27,3
George W. Bush,29/03/2003,30/03/2003,71,26,3
George W. Bush,24/03/2003,25/03/2003,69,27,4
George W. Bush,22/03/2003,23/03/2003,71,25,4
George W. Bush,14/03/2003,15/03/2003,58,38,4
George W. Bush,03/03/2003,05/03/2003,57,37,6
George W. Bush,24/02/2003,26/02/2003,57,37,6
George W. Bush,17/02/2003,19/02/2003,58,37,5
George W. Bush,07/02/2003,09/02/2003,61,34,5
George W. Bush,03/02/2003,06/02/2003,59,35,6
George W. Bush,31/01/2003,02/02/2003,61,35,4
George W. Bush,23/01/2003,25/01/2003,60,36,4
George W. Bush,20/01/2003,22/01/2003,58,36,6
George W. Bush,13/01/2003,16/01/2003,61,34,5
George W. Bush,10/01/2003,12/01/2003,58,37,5
George W. Bush,03/01/2003,05/01/2003,63,32,5
George W. Bush,19/12/2002,22/12/2002,61,32,7
George W. Bush,16/12/2002,17/12/2002,63,33,4
George W. Bush,09/12/2002,10/12/2002,63,32,5
George W. Bush,05/12/2002,08/12/2002,64,29,7
George W. Bush,22/11/2002,24/11/2002,65,28,7
George W. Bush,11/11/2002,14/11/2002,66,26,8
George W. Bush,08/11/2002,10/11/2002,68,27,5
George W. Bush,31/10/2002,03/11/2002,63,29,8
George W. Bush,21/10/2002,22/10/2002,67,28,5
George W. Bush,14/10/2002,17/10/2002,62,31,7
George W. Bush,03/10/2002,06/10/2002,67,28,5
George W. Bush,23/09/2002,26/09/2002,68,26,6
George W. Bush,20/09/2002,22/09/2002,66,30,4
George W. Bush,13/09/2002,16/09/2002,70,26,4
George W. Bush,05/09/2002,08/09/2002,66,30,4
George W. Bush,02/09/2002,04/09/2002,66,29,5
George W. Bush,19/08/2002,21/08/2002,65,28,7
George W. Bush,05/08/2002,08/08/2002,68,26,6
George W. Bush,29/07/2002,31/07/2002,71,23,6
George W. Bush,26/07/2002,28/07/2002,69,26,5
George W. Bush,22/07/2002,24/07/2002,69,24,7
George W. Bush,09/07/2002,11/07/2002,73,21,6
George W. Bush,05/07/2002,08/07/2002,76,18,6
George W. Bush,28/06/2002,30/06/2002,76,19,5
George W. Bush,21/06/2002,23/06/2002,73,21,6
George W. Bush,17/06/2002,19/06/2002,74,20,6
George W. Bush,07/06/2002,08/06/2002,74,18,8
George W. Bush,03/06/2002,06/06/2002,70,23,7
George W. Bush,28/05/2002,29/05/2002,77,17,6
George W. Bush,20/05/2002,22/05/2002,76,17,7
George W. Bush,06/05/2002,09/05/2002,76,19,5
George W. Bush,29/04/2002,01/05/2002,77,20,3
George W. Bush,22/04/2002,24/04/2002,77,17,6
George W. Bush,08/04/2002,11/04/2002,75,20,5
George W. Bush,05/04/2002,07/04/2002,76,19,5
George W. Bush,22/03/2002,24/03/2002,79,17,4
George W. Bush,18/03/2002,20/03/2002,79,16,5
George W. Bush,08/03/2002,09/03/2002,80,14,6
George W. Bush,04/03/2002,07/03/2002,77,18,5
George W. Bush,01/03/2002,03/03/2002,81,14,5
George W. Bush,08/02/2002,10/02/2002,82,14,4
George W. Bush,04/02/2002,06/02/2002,82,14,4
George W. Bush,25/01/2002,27/01/2002,84,13,3
George W. Bush,11/01/2002,14/01/2002,83,13,4
George W. Bush,07/01/2002,09/01/2002,84,12,4
George W. Bush,14/12/2001,16/12/2001,86,11,3
George W. Bush,06/12/2001,09/12/2001,86,10,4
George W. Bush,26/11/2001,27/11/2001,87,8,5
George W. Bush,08/11/2001,11/11/2001,87,9,4
George W. Bush,02/11/2001,04/11/2001,87,9,4
George W. Bush,19/10/2001,21/10/2001,88,9,3
George W. Bush,11/10/2001,14/10/2001,89,8,3
George W. Bush,05/10/2001,06/10/2001,87,10,3
George W. Bush,21/09/2001,22/09/2001,90,6,4
George W. Bush,14/09/2001,15/09/2001,86,10,4
George W. Bush,07/09/2001,10/09/2001,51,39,10
George W. Bush,24/08/2001,26/08/2001,55,36,9
George W. Bush,16/08/2001,19/08/2001,57,34,9
George W. Bush,10/08/2001,12/08/2001,57,35,8
George W. Bush,03/08/2001,05/08/2001,55,35,10
George W. Bush,19/07/2001,22/07/2001,56,33,11
George W. Bush,10/07/2001,11/07/2001,57,35,8
George W. Bush,28/06/2001,01/07/2001,52,34,14
George W. Bush,11/06/2001,17/06/2001,55,33,12
George W. Bush,08/06/2001,10/06/2001,55,35,10
George W. Bush,18/05/2001,20/05/2001,56,36,8
George W. Bush,10/05/2001,14/05/2001,56,31,13
George W. Bush,07/05/2001,09/05/2001,53,33,14
George W. Bush,20/04/2001,22/04/2001,62,29,9
George W. Bush,06/04/2001,08/04/2001,59,30,11
George W. Bush,26/03/2001,28/03/2001,53,29,18
George W. Bush,09/03/2001,11/03/2001,58,29,13
George W. Bush,05/03/2001,07/03/2001,63,22,15
George W. Bush,19/02/2001,21/02/2001,62,21,17
George W. Bush,09/02/2001,11/02/2001,57,25,18
George W. Bush,01/02/2001,04/02/2001,57,25,18
Donald Trump,04/01/2021,15/01/2021,34,62,4
Donald Trump,01/12/2020,17/12/2020,39,57,4
Donald Trump,05/11/2020,19/11/2020,43,55,2
Donald Trump,16/10/2020,27/10/2020,46,52,2
Donald Trump,30/09/2020,15/10/2020,43,55,2
Donald Trump,14/09/2020,28/09/2020,46,52,2
Donald Trump,31/08/2020,13/09/2020,42,56,2
Donald Trump,30/07/2020,12/08/2020,42,55,3
Donald Trump,01/07/2020,23/07/2020,41,56,3
Donald Trump,08/06/2020,30/06/2020,38,57,5
Donald Trump,28/05/2020,04/06/2020,39,57,4
Donald Trump,01/05/2020,13/05/2020,49,48,3
Donald Trump,14/04/2020,28/04/2020,49,47,4
Donald Trump,01/04/2020,14/04/2020,43,54,3
Donald Trump,13/03/2020,22/03/2020,49,45,6
Donald Trump,02/03/2020,13/03/2020,44,52,4
Donald Trump,17/02/2020,28/02/2020,47,51,2
Donald Trump,03/02/2020,16/02/2020,49,48,3
Donald Trump,16/01/2020,29/01/2020,49,50,1
Donald Trump,02/01/2020,15/01/2020,44,53,3
Donald Trump,02/12/2019,15/12/2019,45,51,4
Donald Trump,01/11/2019,14/11/2019,43,54,3
Donald Trump,14/10/2019,31/10/2019,41,57,2
Donald Trump,01/10/2019,13/10/2019,39,57,4
Donald Trump,16/09/2019,30/09/2019,40,56,4
Donald Trump,03/09/2019,15/09/2019,43,54,3
Donald Trump,15/08/2019,30/08/2019,39,57,4
Donald Trump,01/08/2019,14/08/2019,41,54,5
Donald Trump,15/07/2019,31/07/2019,42,54,4
Donald Trump,01/07/2019,12/07/2019,44,51,5
Donald Trump,19/06/2019,30/06/2019,41,54,5
Donald Trump,03/06/2019,16/06/2019,43,55,2
Donald Trump,15/05/2019,30/05/2019,40,55,5
Donald Trump,01/05/2019,12/05/2019,42,52,6
Donald Trump,17/04/2019,30/04/2019,46,50,4
Donald Trump,01/04/2019,09/04/2019,45,51,4
Donald Trump,01/03/2019,10/03/2019,39,57,4
Donald Trump,12/02/2019,28/02/2019,43,54,3
Donald Trump,01/02/2019,10/02/2019,44,52,4
Donald Trump,21/01/2019,27/01/2019,37,59,4
Donald Trump,02/01/2019,10/01/2019,37,59,4
Donald Trump,17/12/2018,22/12/2018,39,55,6
Donald Trump,10/12/2018,16/12/2018,38,57,5
Donald Trump,03/12/2018,09/12/2018,40,56,4
Donald Trump,26/11/2018,02/12/2018,40,56,4
Donald Trump,19/11/2018,25/11/2018,38,60,2
Donald Trump,12/11/2018,18/11/2018,43,53,4
Donald Trump,05/11/2018,11/11/2018,38,56,6
Donald Trump,29/10/2018,04/11/2018,40,54,6
Donald Trump,22/10/2018,28/10/2018,40,54,6
Donald Trump,15/10/2018,21/10/2018,44,50,6
Donald Trump,08/10/2018,14/10/2018,44,51,5
Donald Trump,01/10/2018,07/10/2018,43,53,4
Donald Trump,24/09/2018,30/09/2018,42,53,5
Donald Trump,17/09/2018,23/09/2018,40,56,4
Donald Trump,10/09/2018,16/09/2018,38,56,6
Donald Trump,03/09/2018,09/09/2018,40,54,6
Donald Trump,27/08/2018,02/09/2018,41,53,6
Donald Trump,20/08/2018,26/08/2018,41,54,5
Donald Trump,13/08/2018,19/08/2018,42,52,6
Donald Trump,06/08/2018,12/08/2018,39,56,5
Donald Trump,30/07/2018,05/08/2018,41,54,5
Donald Trump,23/07/2018,29/07/2018,40,55,5
Donald Trump,16/07/2018,22/07/2018,42,54,4
Donald Trump,09/07/2018,15/07/2018,43,52,5
Donald Trump,02/07/2018,08/07/2018,41,56,3
Donald Trump,25/06/2018,01/07/2018,42,53,5
Donald Trump,18/06/2018,24/06/2018,41,55,4
Donald Trump,11/06/2018,17/06/2018,45,50,5
Donald Trump,04/06/2018,10/06/2018,42,54,4
Donald Trump,28/05/2018,03/06/2018,41,55,4
Donald Trump,21/05/2018,27/05/2018,40,55,5
Donald Trump,14/05/2018,20/05/2018,42,54,4
Donald Trump,07/05/2018,13/05/2018,43,52,5
Donald Trump,30/04/2018,06/05/2018,42,52,6
Donald Trump,23/04/2018,29/04/2018,42,53,5
Donald Trump,16/04/2018,22/04/2018,39,55,6
Donald Trump,09/04/2018,15/04/2018,39,55,6
Donald Trump,02/04/2018,08/04/2018,41,54,5
Donald Trump,26/03/2018,01/04/2018,39,56,5
Donald Trump,19/03/2018,25/03/2018,39,55,6
Donald Trump,12/03/2018,18/03/2018,40,56,4
Donald Trump,05/03/2018,11/03/2018,39,56,5
Donald Trump,26/02/2018,04/03/2018,39,55,6
Donald Trump,19/02/2018,25/02/2018,39,56,5
Donald Trump,12/02/2018,18/02/2018,37,59,4
Donald Trump,05/02/2018,11/02/2018,40,57,3
Donald Trump,29/01/2018,04/02/2018,40,57,3
Donald Trump,21/01/2018,28/01/2018,38,58,4
Donald Trump,15/01/2018,21/01/2018,36,59,5
Donald Trump,08/01/2018,14/01/2018,38,57,5
Donald Trump,01/01/2018,07/01/2018,37,58,5
Donald Trump,25/12/2017,31/12/2017,39,55,6
Donald Trump,18/12/2017,24/12/2017,37,57,6
Donald Trump,11/12/2017,17/12/2017,35,60,5
Donald Trump,04/12/2017,10/12/2017,36,59,5
Donald Trump,27/11/2017,03/12/2017,35,59,6
Donald Trump,20/11/2017,26/11/2017,37,56,7
Donald Trump,13/11/2017,19/11/2017,38,57,5
Donald Trump,06/11/2017,12/11/2017,38,56,6
Donald Trump,30/10/2017,05/11/2017,38,58,4
Donald Trump,23/10/2017,29/10/2017,35,60,5
Donald Trump,16/10/2017,22/10/2017,36,58,6
Donald Trump,09/10/2017,15/10/2017,37,57,6
Donald Trump,02/10/2017,08/10/2017,38,56,6
Donald Trump,25/09/2017,01/10/2017,37,58,5
Donald Trump,18/09/2017,24/09/2017,38,55,7
Donald Trump,11/09/2017,17/09/2017,38,57,5
Donald Trump,04/09/2017,10/09/2017,37,57,6
Donald Trump,28/08/2017,03/09/2017,36,59,5
Donald Trump,21/08/2017,27/08/2017,35,60,5
Donald Trump,14/08/2017,20/08/2017,37,58,5
Donald Trump,07/08/2017,13/08/2017,36,58,6
Donald Trump,31/07/2017,06/08/2017,37,58,5
Donald Trump,24/07/2017,30/07/2017,38,57,5
Donald Trump,17/07/2017,23/07/2017,37,58,5
Donald Trump,10/07/2017,16/07/2017,39,56,5
Donald Trump,03/07/2017,09/07/2017,38,57,5
Donald Trump,26/06/2017,02/07/2017,39,56,5
Donald Trump,19/06/2017,25/06/2017,39,56,5
Donald Trump,12/06/2017,18/06/2017,38,57,5
Donald Trump,05/06/2017,11/06/2017,37,58,5
Donald Trump,29/05/2017,04/06/2017,38,56,6
Donald Trump,22/05/2017,28/05/2017,41,54,5
Donald Trump,15/05/2017,21/05/2017,38,56,6
Donald Trump,08/05/2017,14/05/2017,38,56,6
Donald Trump,01/05/2017,07/05/2017,42,53,5
Donald Trump,24/04/2017,30/04/2017,41,54,5
Donald Trump,17/04/2017,23/04/2017,41,52,7
Donald Trump,10/04/2017,16/04/2017,40,54,6
Donald Trump,03/04/2017,09/04/2017,40,53,7
Donald Trump,27/03/2017,02/04/2017,38,57,5
Donald Trump,20/03/2017,26/03/2017,39,56,5
Donald Trump,13/03/2017,19/03/2017,40,55,5
Donald Trump,06/03/2017,12/03/2017,42,52,6
Donald Trump,27/02/2017,05/03/2017,43,51,6
Donald Trump,20/02/2017,26/02/2017,42,53,5
Donald Trump,13/02/2017,19/02/2017,40,54,6
Donald Trump,06/02/2017,12/02/2017,41,53,6
Donald Trump,30/01/2017,05/02/2017,43,52,5
Donald Trump,20/01/2017,29/01/2017,45,47,8